id,composition_id,o.sxx,o.syy,o.szz,o.sxy,o.syz,o.szx
1379224,Al2 H4 O9 Si2,48.50145,47.77893,41.11131,-0.82965,0.13521,-0.59729
1379304,Al2 H4 O9 Si2,47.98876,47.46596,40.068,0.0,1e-05,-0.20964
1379437,Al2 H4 O9 Si2,54.61568,34.54955,56.39448,0.0,0.0,-8.79767
1379494,Al2 H4 O9 Si2,57.7072,56.61617,54.09388,-0.03617,0.00855,2.61934
1379757,Al2 Na2 O10 Si3,38.99647,39.29514,40.62818,0.04148,0.0,0.0
1379871,Al10 Mn1 O20 Pb3,48.41457,47.84755,48.14574,0.0,0.0,-0.18667
1380036,Al2 O5 Si1,96.01797,72.78019,72.36006,-3.13457,24.1145,10.65377
1380197,Al2 H4 O9 Si2,51.01402,47.67451,54.92711,-0.18882,-0.01811,-2.31167
1380371,Al2 Na2 O10 Si3,36.0493,36.21182,38.24032,0.0,0.0,0.0
1380532,Al2 Na2 O10 Si3,36.80523,35.30646,38.47161,-0.00518,0.0,0.0
1380687,Al1 B14 Ni20,4.44163,4.44163,4.44163,0.0,0.0,0.0
1380869,Al1 Ca1 H1 O5 Si1,49.72979,53.44281,53.66299,0.0,0.0,0.0
1381149,Al24 Ce3 Cu8 Mn1,10.53406,10.53406,10.53406,0.0,0.0,0.0
1381354,Al1 Cl7 Te1,7.00221,6.69298,7.4192,0.0,0.0,-0.10072
1381477,Al3 Na7 O8,33.47406,33.75719,33.4735,-0.36743,0.50856,-0.47657
1381536,Ag1 Al1 Cs1 F6,74.15403,72.11296,71.09388,0.0,0.0,0.0
1381632,Al1 Cl4 N2 S2,7.53979,7.44884,6.68047,-0.00042,0.0,-0.82629
1381655,Al1 Ba2 In1 O5,41.97176,41.9629,40.77876,0.0,0.0,0.0
1382163,Al3 F12 Na1 Rb2,82.8389,82.39667,71.97548,0.0,0.0,0.68924
1382176,Al1 B6 Yb2,10.40626,8.84271,8.95592,0.0,0.0,0.0
1382185,Al3 F12 K2 Na1,84.27575,84.69236,73.44095,0.0,0.0,-0.20046
1382369,Al1 Cu1 F6 K1,78.9269,88.58804,83.99908,0.0,0.0,0.0
1382395,Al1 Cl7 Te1,8.69644,13.02926,8.5914,-0.23658,0.33298,-0.00946
1382424,Al3 H3 O10 Si2,57.65217,60.23705,62.33552,2.34163,2.45665,0.73896
1382951,Al2 N4 Sr3,19.1922,18.96048,19.79503,0.0,0.0,0.0
1383881,Al1 Cd1 F6 Na1,73.8434,81.48522,70.43755,0.0,0.0,0.0
1384804,Al2 B2 O7 Sr1,38.25236,38.22967,40.96271,-0.01607,0.00068,0.0003
1385506,Al4 Sn3 Sr11,3.50015,3.50015,3.50015,0.0,0.0,0.0
1385610,Al1 Ba1 F6 Li1,76.31054,101.7869,83.41259,-0.36817,-0.45077,-1.39474
1385640,Al1 O4 V1,53.43535,51.89573,51.16586,1.29686,0.11767,0.20605
1386256,Al2 Ca3 N4,22.77004,22.09122,22.14373,0.0,0.0,0.05455
1387002,Al1 B2 Li1 O5,39.61588,41.85791,42.19014,0.0,0.0,-0.01848
1387097,Al1 O4 P1,37.42721,36.35932,38.27569,0.0,0.0,-0.30847
1387557,Al1 O4 P1,21.43858,21.29885,21.11856,-0.85898,-1.01784,-0.93842
1387722,Al4 In3 Sr11,3.54774,3.54774,3.54774,0.0,0.0,0.0
